gene	TCA	Resp	Ribo	Proteas	Hist	HTH

YAL001C	-1	-1	-1	-1	-1	-1
YAL002W	-1	-1	-1	-1	-1	-1
YAL003W	-1	-1	-1	-1	-1	-1
YAL005C	-1	-1	-1	-1	-1	-1
YAL010C	-1	-1	-1	-1	-1	-1
YAL012W	-1	-1	-1	-1	-1	-1
YAL013W	-1	-1	-1	-1	-1	-1
YAL015C	-1	-1	-1	-1	-1	-1
YAL016W	-1	-1	-1	-1	-1	-1
YAL021C	-1	-1	-1	-1	-1	-1
YAL023C	-1	-1	-1	-1	-1	-1
YAL024C	-1	-1	-1	-1	-1	-1
YAL025C	-1	-1	-1	-1	-1	-1
YAL026C	-1	-1	-1	-1	-1	-1
YAL029C	-1	-1	-1	-1	-1	-1
YAL030W	-1	-1	-1	-1	-1	-1
YAL033W	-1	-1	-1	-1	-1	-1
YAL038W	-1	-1	-1	-1	-1	-1
YAL039C	-1	-1	-1	-1	-1	-1
YAL040C	-1	-1	-1	-1	-1	-1
YAL041W	-1	-1	-1	-1	-1	-1
YAL043C	-1	-1	-1	-1	-1	-1
YAL051W	-1	-1	-1	-1	-1	-1
YAL054C	-1	-1	-1	-1	-1	-1
YAL058W	-1	-1	-1	-1	-1	-1
YAL059W	-1	-1	-1	-1	-1	-1
YAL062W	-1	-1	-1	-1	-1	-1
YAL067C	-1	-1	-1	-1	-1	-1
YAR007C	-1	-1	-1	-1	-1	-1
YAR008W	-1	-1	-1	-1	-1	-1
YAR015W	-1	-1	-1	-1	-1	-1
YAR019C	-1	-1	-1	-1	-1	-1
YAR035W	-1	-1	-1	-1	-1	-1
YAR044W	-1	-1	-1	-1	-1	-1
YAR071W	-1	-1	-1	-1	-1	-1
YBL001C	-1	-1	-1	-1	-1	-1
YBL002W	-1	-1	-1	-1	1	-1
YBL003C	-1	-1	-1	-1	1	-1
YBL005W	-1	-1	-1	-1	-1	-1
YBL007C	-1	-1	-1	-1	-1	-1
YBL008W	-1	-1	-1	-1	-1	-1
YBL014C	-1	-1	-1	-1	-1	-1
YBL015W	-1	-1	-1	-1	-1	-1
YBL016W	-1	-1	-1	-1	-1	-1
YBL017C	-1	-1	-1	-1	-1	-1
YBL018C	-1	-1	-1	-1	-1	-1
YBL019W	-1	-1	-1	-1	-1	-1
YBL020W	-1	-1	-1	-1	-1	-1
YBL021C	-1	-1	-1	-1	-1	-1
YBL022C	-1	-1	-1	-1	-1	-1
YBL023C	-1	-1	-1	-1	-1	-1
YBL025W	-1	-1	-1	-1	-1	-1
YBL026W	-1	-1	-1	-1	-1	-1
YBL027W	-1	-1	1	-1	-1	-1
YBL030C	-1	-1	-1	-1	-1	-1
YBL033C	-1	-1	-1	-1	-1	-1
YBL035C	-1	-1	-1	-1	-1	-1
YBL037W	-1	-1	-1	-1	-1	-1
YBL038W	-1	-1	-1	-1	-1	-1
YBL039C	-1	-1	-1	-1	-1	-1
YBL040C	-1	-1	-1	-1	-1	-1
YBL041W	-1	-1	-1	1	-1	-1
YBL042C	-1	-1	-1	-1	-1	-1
YBL043W	-1	-1	-1	-1	-1	-1
YBL045C	-1	1	-1	-1	-1	-1
YBL050W	-1	-1	-1	-1	-1	-1
YBL052C	-1	-1	-1	-1	-1	-1
YBL056W	-1	-1	-1	-1	-1	-1
YBL058W	-1	-1	-1	-1	-1	-1
YBL061C	-1	-1	-1	-1	-1	-1
YBL066C	-1	-1	-1	-1	-1	-1
YBL067C	-1	-1	-1	-1	-1	-1
YBL068W	-1	-1	-1	-1	-1	-1
YBL069W	-1	-1	-1	-1	-1	-1
YBL072C	-1	-1	1	-1	-1	-1
YBL074C	-1	-1	-1	-1	-1	-1
YBL075C	-1	-1	-1	-1	-1	-1
YBL076C	-1	-1	-1	-1	-1	-1
YBL079W	-1	-1	-1	-1	-1	-1
YBL080C	-1	-1	-1	-1	-1	-1
YBL082C	-1	-1	-1	-1	-1	-1
YBL084C	-1	-1	-1	-1	-1	-1
YBL085W	-1	-1	-1	-1	-1	-1
YBL087C	-1	-1	1	-1	-1	-1
YBL088C	-1	-1	-1	-1	-1	-1
YBL090W	-1	-1	-1	-1	-1	-1
YBL091C	-1	-1	-1	-1	-1	-1
YBL092W	-1	-1	1	-1	-1	-1
YBL093C	-1	-1	-1	-1	-1	-1
YBL097W	-1	-1	-1	-1	-1	-1
YBL099W	-1	1	-1	-1	-1	-1
YBL101C	-1	-1	-1	-1	-1	-1
YBL103C	-1	-1	-1	-1	-1	-1
YBL105C	-1	-1	-1	-1	-1	-1
YBL106C	-1	-1	-1	-1	-1	-1
YBR001C	-1	-1	-1	-1	-1	-1
YBR003W	-1	-1	-1	-1	-1	-1
YBR008C	-1	-1	-1	-1	-1	-1
YBR009C	-1	-1	-1	-1	1	-1
YBR010W	-1	-1	-1	-1	1	-1
YBR017C	-1	-1	-1	-1	-1	-1
YBR021W	-1	-1	-1	-1	-1	-1
YBR023C	-1	-1	-1	-1	-1	-1
YBR024W	-1	-1	-1	-1	-1	-1
YBR026C	-1	-1	-1	-1	-1	-1
YBR031W	-1	-1	1	-1	-1	-1
YBR034C	-1	-1	-1	-1	-1	-1
YBR035C	-1	-1	-1	-1	-1	-1
YBR036C	-1	-1	-1	-1	-1	-1
YBR037C	-1	-1	-1	-1	-1	-1
YBR038W	-1	-1	-1	-1	-1	-1
YBR039W	-1	1	-1	-1	-1	-1
YBR040W	-1	-1	-1	-1	-1	-1
YBR041W	-1	-1	-1	-1	-1	-1
YBR045C	-1	-1	-1	-1	-1	-1
YBR048W	-1	-1	1	-1	-1	-1
YBR049C	-1	-1	-1	-1	-1	1
YBR050C	-1	-1	-1	-1	-1	-1
YBR055C	-1	-1	-1	-1	-1	-1
YBR058C	-1	-1	-1	-1	-1	-1
YBR060C	-1	-1	-1	-1	-1	-1
YBR065C	-1	-1	-1	-1	-1	-1
YBR067C	-1	-1	-1	-1	-1	-1
YBR068C	-1	-1	-1	-1	-1	-1
YBR069C	-1	-1	-1	-1	-1	-1
YBR070C	-1	-1	-1	-1	-1	-1
YBR072W	-1	-1	-1	-1	-1	-1
YBR076W	-1	-1	-1	-1	-1	-1
YBR078W	-1	-1	-1	-1	-1	-1
YBR079C	-1	-1	-1	-1	-1	-1
YBR080C	-1	-1	-1	-1	-1	-1
YBR081C	-1	-1	-1	-1	-1	-1
YBR082C	-1	-1	-1	-1	-1	-1
YBR083W	-1	-1	-1	-1	-1	1
YBR084C-A	-1	-1	1	-1	-1	-1
YBR085W	-1	-1	-1	-1	-1	-1
YBR087W	-1	-1	-1	-1	-1	-1
YBR088C	-1	-1	-1	-1	-1	-1
YBR090C-A	-1	-1	-1	-1	-1	-1
YBR091C	-1	-1	-1	-1	-1	-1
YBR092C	-1	-1	-1	-1	-1	-1
YBR093C	-1	-1	-1	-1	-1	-1
YBR097W	-1	-1	-1	-1	-1	-1
YBR104W	-1	-1	-1	-1	-1	-1
YBR105C	-1	-1	-1	-1	-1	-1
YBR106W	-1	-1	-1	-1	-1	-1
YBR110W	-1	-1	-1	-1	-1	-1
YBR112C	-1	-1	-1	-1	-1	-1
YBR114W	-1	-1	-1	-1	-1	-1
YBR115C	-1	-1	-1	-1	-1	-1
YBR117C	-1	-1	-1	-1	-1	-1
YBR118W	-1	-1	-1	-1	-1	-1
YBR119W	-1	-1	-1	-1	-1	-1
YBR120C	-1	-1	-1	-1	-1	-1
YBR121C	-1	-1	-1	-1	-1	-1
YBR122C	-1	-1	-1	-1	-1	-1
YBR123C	-1	-1	-1	-1	-1	-1
YBR126C	-1	-1	-1	-1	-1	-1
YBR127C	-1	-1	-1	-1	-1	-1
YBR129C	-1	-1	-1	-1	-1	-1
YBR130C	-1	-1	-1	-1	-1	-1
YBR131W	-1	-1	-1	-1	-1	-1
YBR132C	-1	-1	-1	-1	-1	-1
YBR133C	-1	-1	-1	-1	-1	-1
YBR135W	-1	-1	-1	-1	-1	-1
YBR136W	-1	-1	-1	-1	-1	-1
YBR142W	-1	-1	-1	-1	-1	-1
YBR143C	-1	-1	-1	-1	-1	-1
YBR145W	-1	-1	-1	-1	-1	-1
YBR146W	-1	-1	-1	-1	-1	-1
YBR153W	-1	-1	-1	-1	-1	-1
YBR154C	-1	-1	-1	-1	-1	-1
YBR160W	-1	-1	-1	-1	-1	-1
YBR164C	-1	-1	-1	-1	-1	-1
YBR165W	-1	-1	-1	-1	-1	-1
YBR166C	-1	-1	-1	-1	-1	-1
YBR167C	-1	-1	-1	-1	-1	-1
YBR169C	-1	-1	-1	-1	-1	-1
YBR170C	-1	-1	-1	-1	-1	-1
YBR171W	-1	-1	-1	-1	-1	-1
YBR173C	-1	-1	-1	1	-1	-1
YBR176W	-1	-1	-1	-1	-1	-1
YBR181C	-1	-1	1	-1	-1	-1
YBR182C	-1	-1	-1	-1	-1	-1
YBR185C	-1	-1	-1	-1	-1	-1
YBR186W	-1	-1	-1	-1	-1	-1
YBR188C	-1	-1	-1	-1	-1	-1
YBR189W	-1	-1	1	-1	-1	-1
YBR191W	-1	-1	1	-1	-1	-1
YBR192W	-1	-1	-1	-1	-1	-1
YBR193C	-1	-1	-1	-1	-1	-1
YBR195C	-1	-1	-1	-1	-1	-1
YBR196C	-1	-1	-1	-1	-1	-1
YBR198C	-1	-1	-1	-1	-1	-1
YBR199W	-1	-1	-1	-1	-1	-1
YBR200W	-1	-1	-1	-1	-1	-1
YBR201W	-1	-1	-1	-1	-1	-1
YBR202W	-1	-1	-1	-1	-1	-1
YBR205W	-1	-1	-1	-1	-1	-1
YBR208C	-1	-1	-1	-1	-1	-1
YBR213W	-1	-1	-1	-1	-1	-1
YBR215W	-1	-1	-1	-1	-1	-1
YBR218C	-1	-1	-1	-1	-1	-1
YBR221C	-1	-1	-1	-1	-1	-1
YBR222C	-1	-1	-1	-1	-1	-1
YBR229C	-1	-1	-1	-1	-1	-1
YBR236C	-1	-1	-1	-1	-1	-1
YBR237W	-1	-1	-1	-1	-1	-1
YBR240C	-1	-1	-1	-1	-1	-1
YBR243C	-1	-1	-1	-1	-1	-1
YBR247C	-1	-1	-1	-1	-1	-1
YBR248C	-1	-1	-1	-1	-1	-1
YBR249C	-1	-1	-1	-1	-1	-1
YBR251W	-1	-1	-1	-1	-1	-1
YBR252W	-1	-1	-1	-1	-1	-1
YBR253W	-1	-1	-1	-1	-1	-1
YBR256C	-1	-1	-1	-1	-1	-1
YBR257W	-1	-1	-1	-1	-1	-1
YBR263W	-1	-1	-1	-1	-1	-1
YBR268W	-1	-1	-1	-1	-1	-1
YBR272C	-1	-1	-1	-1	-1	-1
YBR275C	-1	-1	-1	-1	-1	-1
YBR278W	-1	-1	-1	-1	-1	-1
YBR279W	-1	-1	-1	-1	-1	-1
YBR282W	-1	-1	-1	-1	-1	-1
YBR283C	-1	-1	-1	-1	-1	-1
YBR286W	-1	-1	-1	-1	-1	-1
YBR288C	-1	-1	-1	-1	-1	-1
YBR289W	-1	-1	-1	-1	-1	-1
YBR290W	-1	-1	-1	-1	-1	-1
YBR291C	-1	-1	-1	-1	-1	-1
YBR294W	-1	-1	-1	-1	-1	-1
YBR295W	-1	-1	-1	-1	-1	-1
YBR298C	-1	-1	-1	-1	-1	-1
YCL001W	-1	-1	-1	-1	-1	-1
YCL004W	-1	-1	-1	-1	-1	-1
YCL007C	-1	-1	-1	-1	-1	-1
YCL008C	-1	-1	-1	-1	-1	-1
YCL009C	-1	-1	-1	-1	-1	-1
YCL014W	-1	-1	-1	-1	-1	-1
YCL017C	-1	-1	-1	-1	-1	-1
YCL018W	-1	-1	-1	-1	-1	-1
YCL025C	-1	-1	-1	-1	-1	-1
YCL027W	-1	-1	-1	-1	-1	-1
YCL029C	-1	-1	-1	-1	-1	-1
YCL030C	-1	-1	-1	-1	-1	-1
YCL031C	-1	-1	-1	-1	-1	-1
YCL037C	-1	-1	-1	-1	-1	-1
YCL040W	-1	-1	-1	-1	-1	-1
YCL043C	-1	-1	-1	-1	-1	-1
YCL050C	-1	-1	-1	-1	-1	-1
YCL051W	-1	-1	-1	-1	-1	-1
YCL052C	-1	-1	-1	-1	-1	-1
YCL054W	-1	-1	-1	-1	-1	-1
YCL055W	-1	-1	-1	-1	-1	-1
YCL057W	-1	-1	-1	-1	-1	-1
YCL066W	-1	-1	-1	-1	-1	-1
YCL067C	-1	-1	-1	-1	-1	-1
YCR002C	-1	-1	-1	-1	-1	-1
